id,name,episode,season,features
36.0,"""RUSTIC BARN""",S03E11,3,"BARN, DECIDUOUS, FENCE, LAKE, STRUCTURE, TREE, TREES, "
347.0,"""SUNLIGHT IN THE SHADOWS""",S27E10,27,"BUSHES, DECIDUOUS, GRASS, GUEST, RIVER, SUN, TREE, TREES, "
170.0,"""MEADOW BROOK SURPRISE""",S14E02,14,"CONIFER, GRASS, RIVER, TREE, TREES, "
345.0,"""DAYBREAK""",S27E08,27,"CABIN, CONIFER, DECIDUOUS, FENCE, FOG, SNOW, STRUCTURE, TREE, TREES, WINTER, "
380.0,"""WILDERNESS TRAIL""",S30E04,30,"BUSHES, DECIDUOUS, PATH, TREE, TREES, "
223.0,"""MOUNTAIN SECLUSION""",S18E03,18,"CABIN, CLOUDS, CONIFER, MOUNTAIN, MOUNTAINS, RIVER, SNOW, STRUCTURE, TREE, TREES, WINTER, "
171.0,"""MOUNTAIN MOONLIGHT OVAL""",S14E03,14,"CONIFER, DECIDUOUS, FRAMED, GRASS, MOUNTAIN, MOUNTAINS, NIGHT, OVAL_FRAME, TREE, TREES, "
29.0,"""WINTER NIGHT""",S03E04,3,"CABIN, CONIFER, SNOW, STRUCTURE, TREE, TREES, WINTER, "
219.0,"""NATURE'S SPLENDOR""",S17E12,17,"CONIFER, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES, "
126.0,"""OCEAN SUNSET""",S10E10,10,"BEACH, CLOUDS, OCEAN, ROCKS, WAVES, "
45.0,"""CABIN IN THE WOODS""",S04E07,4,"CABIN, DECIDUOUS, GRASS, PATH, STRUCTURE, TREE, TREES, "
257.0,"""CHANGE OF SEASONS""",S20E11,20,"DECIDUOUS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES, "
6.0,"""AUTUMN MOUNTAINS""",S01E07,1,"DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES, "
202.0,"""HIGH TIDE""",S16E08,16,"BEACH, CLOUDS, OCEAN, PALM_TREES, WAVES, "
394.0,"""CABIN IN THE HOLLOW""",S31E05,31,"CABIN, CONIFER, FRAMED, OVAL_FRAME, RIVER, SNOW, TREE, TREES, WINTER, "
208.0,"""GOLDEN MIST OVAL""",S17E01,17,"CONIFER, FOG, FRAMED, OVAL_FRAME, RIVER, TREE, TREES, "
179.0,"""SHADOW POND""",S14E11,14,"DECIDUOUS, GRASS, LAKE, TREE, TREES, "
98.0,"""FOOT OF THE MOUNTAIN""",S08E08,8,"CONIFER, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES, "
285.0,"""SILENT FOREST""",S22E13,22,"CONIFER, GRASS, RIVER, TREE, TREES, "
143.0,"""GOLDEN KNOLL""",S12E01,12,"CABIN, DECIDUOUS, FOG, GRASS, STRUCTURE, SUN, TREE, "
177.0,"""RIVERSIDE ESCAPE OVAL""",S14E09,14,"CLOUDS, CUMULUS, DECIDUOUS, FRAMED, OVAL_FRAME, PATH, RIVER, TREE, TREES, "
270.0,"""DESERT GLOW""",S21E11,21,"CACTUS, CLOUDS, FRAMED, MOUNTAIN, OVAL_FRAME, PATH, "
23.0,"""BLACK WATERFALL""",S02E11,2,"BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES, WATERFALL, "
65.0,"""BLUE RIVER""",S06E01,6,"BUSHES, CONIFER, DECIDUOUS, GRASS, HILLS, RIVER, TREE, TREES, "
7.0,"""PEACEFUL VALLEY""",S01E08,1,"BUSHES, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES, "
77.0,"""BLAZE OF COLOR""",S06E13,6,"CLOUDS, CONIFER, DECIDUOUS, GRASS, HILLS, RIVER, TREE, TREES, "
307.0,"""ICY LAKE""",S24E09,24,"CONIFER, DECIDUOUS, FRAMED, GUEST, LAKE, OVAL_FRAME, SNOW, STEVE_ROSS, TREE, TREES, WINTER, "
259.0,"""DOUBLE TAKE""",S20E13,20,"BUSHES, CONIFER, FOG, LAKE, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER, "
302.0,"""LITTLE HOME IN THE MEADOW""",S24E04,24,"CABIN, CONIFER, DECIDUOUS, FRAMED, GRASS, OVAL_FRAME, STRUCTURE, TREE, TREES, "
379.0,"""WINTER'S PEACE""",S30E03,30,"CABIN, CLOUDS, CONIFER, LAKE, STRUCTURE, TREE, TREES, "
301.0,"""TETON WINTER""",S24E03,24,"CABIN, DECIDUOUS, MOUNTAIN, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER, "
230.0,"""DOUBLE OVAL STREAM""",S18E10,18,"BUSHES, DECIDUOUS, FRAMED, RIVER, TREE, TREES, "
391.0,"""BEFORE THE SNOWFALL""",S31E02,31,"BUSHES, CABIN, CLOUDS, CONIFER, RIVER, STRUCTURE, TREE, TREES, "
174.0,"""GRACEFUL MOUNTAINS""",S14E06,14,"CIRRUS, CLOUDS, CONIFER, DECIDUOUS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES, "
243.0,"""AFTER THE RAIN""",S19E10,19,"DECIDUOUS, PATH, TREE, TREES, "
142.0,"""HAPPY ACCIDENT""",S11E13,11,"BUSHES, DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES, "
280.0,"""DEEP WILDERNESS HOME""",S22E08,22,"CABIN, CLIFF, DECIDUOUS, GRASS, RIVER, TREE, TREES, WATERFALL, "
325.0,"""IN THE STILLNESS OF MORNING""",S26E01,26,"BUSHES, CONIFER, FOG, GRASS, RIVER, TREE, TREES, "
217.0,"""OLD COUNTRY MILL""",S17E10,17,"DECIDUOUS, MILL, RIVER, ROCKS, STRUCTURE, TREE, WATERFALL, "
40.0,"""TRANQUIL VALLEY""",S04E02,4,"BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES, "
26.0,"""MOUNTAIN RETREAT""",S03E01,3,"BUSHES, CABIN, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, STRUCTURE, TREE, TREES, "
106.0,"""RED SUNSET""",S09E03,9,"BUSHES, CLOUDS, CONIFER, LAKE, TREE, TREES, "
136.0,"""LAKESIDE PATH""",S11E07,11,"BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, LAKE, PATH, ROCKS, TREE, TREES, "
334.0,"""PURPLE MOUNTAIN RANGE""",S26E10,26,
